MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,MDX,40149,2460500
Acura,MDX,40159,2490500
Acura,MDX,40203,2600200
Acura,MDX,40215,2827750
Acura,MDX,40231,2610600
Acura,MDX,40318,2369100
Acura,MDX,40343,2580000
Acura,MDX,40379,3698500
Acura,MDX,40453,2276900
Acura,MDX,40464,2641000
Acura,MDX,40600,2660700
Acura,MDX,40626,2349300
Acura,MDX,40687,2602000
Acura,MDX,40716,2889600
Acura,MDX,40799,2499700
Acura,MDX,40857,2960600
Acura,MDX,40970,2600300
Acura,MDX,40976,2309000
Acura,MDX,41033,2849600
Acura,MDX,41227,2498800
Acura,MDX,41273,2630500
Acura,MDX,41398,2971000
Acura,MDX,41426,2770100
Acura,MDX,41452,3999300
Acura,MDX,41566,3031500
Acura,MDX,41734,3898400
Acura,MDX,41767,2569500
Acura,MDX,41938,2509900
Acura,MDX,42010,2940400
Acura,MDX,42025,2702300
Acura,MDX,42029,2075300
Acura,MDX,42034,3031300
Acura,MDX,42158,2398300
Acura,MDX,42219,1506500
Acura,MDX,42229,2540100
Acura,MDX,42314,2751900
Acura,MDX,42319,2728700
Acura,MDX,42553,2199600
Acura,MDX,42731,2560400
Acura,MDX,42789,2438800
Acura,MDX,42860,2399900
Acura,MDX,42909,3021200
Acura,MDX,42921,2551300
Acura,MDX,42942,2900200
Acura,MDX,42970,2961000
Acura,MDX,43031,2710500
Acura,MDX,43388,2509900
Acura,MDX,43389,2459000
Acura,MDX,43601,2709800
Acura,MDX,43604,2247700
Acura,MDX,43637,2760300
Acura,MDX,43638,2490400
Acura,MDX,43704,2419200
Acura,MDX,43791,2920700
Acura,MDX,43810,2348000
Acura,MDX,43862,2819800
Acura,MDX,43951,2629000
Acura,MDX,43994,2307500
Acura,MDX,44254,2198500
Acura,MDX,44290,2169000
Acura,MDX,44350,2680900
Acura,MDX,44622,2637600
Acura,MDX,44811,2637200
Acura,MDX,44943,2273050
Acura,MDX,45076,2550200
Acura,MDX,45340,2789400
Acura,MDX,45347,2500200
Acura,MDX,45448,2901000
Acura,MDX,45459,2423850
Acura,MDX,45483,2769500
Acura,MDX,45504,3070600
Acura,MDX,45642,2659500
Acura,MDX,45864,2783200
Acura,MDX,45936,2779800
Acura,MDX,45973,2490700
Acura,MDX,46035,2520400
Acura,MDX,46056,2370400
